Date;hour;temperatura
13/12/2018;12:31;0.88
13/12/2018;12:31;0.88
13/12/2018;12:32;0.84
13/12/2018;12:32;0.87
13/12/2018;12:33;0.88
13/12/2018;12:33;0.88
13/12/2018;12:34;0.88
13/12/2018;12:34;0.84
13/12/2018;12:34;0.87
13/12/2018;12:35;0.84
13/12/2018;12:35;0.86
13/12/2018;12:36;0.87
13/12/2018;12:36;0.87
13/12/2018;12:37;0.87
13/12/2018;12:37;0.84
13/12/2018;12:37;0.88
13/12/2018;12:38;0.85
13/12/2018;12:38;0.87
13/12/2018;12:39;0.87
13/12/2018;12:39;0.88
13/12/2018;12:40;0.87
13/12/2018;12:40;0.88
13/12/2018;12:40;0.88
13/12/2018;12:41;0.84
13/12/2018;12:41;0.85
13/12/2018;12:42;0.88
13/12/2018;12:42;0.88
13/12/2018;12:43;0.88
13/12/2018;12:43;0.87
13/12/2018;12:43;0.87
13/12/2018;12:44;0.84
13/12/2018;12:44;0.87
13/12/2018;12:45;0.84
13/12/2018;12:45;0.84
13/12/2018;12:46;0.87
13/12/2018;12:46;0.88
13/12/2018;12:46;0.84
13/12/2018;12:47;0.87
13/12/2018;12:47;0.84
13/12/2018;12:48;0.88
13/12/2018;12:48;0.88
13/12/2018;12:49;0.88
13/12/2018;12:49;0.84
13/12/2018;12:49;0.84
13/12/2018;12:50;0.85
13/12/2018;12:50;0.88
13/12/2018;12:51;0.87
13/12/2018;12:51;0.87
13/12/2018;12:52;0.88
13/12/2018;12:52;0.88
13/12/2018;12:52;0.87
13/12/2018;12:53;0.87
13/12/2018;12:53;0.86
13/12/2018;12:54;0.84
13/12/2018;12:54;0.84
13/12/2018;12:55;0.84
13/12/2018;12:55;0.84
13/12/2018;12:55;0.87
13/12/2018;12:56;0.87
13/12/2018;12:56;0.87
13/12/2018;12:57;0.84
13/12/2018;12:57;0.86
13/12/2018;12:58;0.86
13/12/2018;12:58;0.87
13/12/2018;12:58;0.86
13/12/2018;12:59;0.86
13/12/2018;12:59;0.87
13/12/2018;13:00;0.86
13/12/2018;13:00;0.86
13/12/2018;13:01;0.84
13/12/2018;13:01;0.85
13/12/2018;13:01;0.84
13/12/2018;13:02;0.84
13/12/2018;13:02;0.87
13/12/2018;13:03;0.83
13/12/2018;13:03;0.87
13/12/2018;13:04;0.85
13/12/2018;13:04;0.87
13/12/2018;13:04;0.84
13/12/2018;13:05;0.84
13/12/2018;13:05;0.84
13/12/2018;13:06;0.83
13/12/2018;13:06;0.83
13/12/2018;13:07;0.83
13/12/2018;13:07;0.85

